金融信息_央行黄金和外汇储备_央行黄金和外汇储备(1978.12-2017.5)_宏观数据_新浪财经

统计时间, 黄金储备(万盎司), 国家外汇储备(亿美元), 
1995.4, 1267.00, 599.22, 
1995.3, 1267.00, 579.63, 
1995.2, 1267.00, 573.86, 
1995.1, 1267.00, 547.89, 
1994.12, 1267.00, 516.20, 
1994.11, 1267.00, 490.23, 
1994.10, 1267.00, 437.16, 
1994.9, 1267.00, 398.36, 
1994.8, 1267.00, 363.04, 
1994.7, 1267.00, 351.26, 
1994.6, 1267.00, 318.63, 
1994.5, 1267.00, 305.50, 
1994.4, 1267.00, 301.42, 
1994.3, 1267.00, 286.18, 
1994.2, 1267.00, 278.49, 
1994.1, 1267.00, 251.61, 
1993.12, 1267.00, 211.99, 
1993.11, 1267.00, 208.60, 
1993.10, 1267.00, 197.06, 
1993.9, 1267.00, 196.20, 
1993.8, 1267.00, 191.59, 
1993.7, 1267.00, 189.95, 
1993.6, 1267.00, 188.77, 
1993.5, 1267.00, 194.51, 
1993.4, 1267.00, 196.42, 
1993.3, 1267.00, 198.11, 
1993.2, 1267.00, 202.80, 
1993.1, 1267.00, 201.38, 
1992.12, 1267.00, 194.43, 
1991.12, 1267.00, 217.12, 
1990.12, 1267.00, 110.93, 
1989.12, 1267.00, 55.50, 
1988.12, 1267.00, 33.72, 
1987.12, 1267.00, 29.23, 
1986.12, 1267.00, 20.72, 
1985.12, 1267.00, 26.44, 
1984.12, 1267.00, 82.20, 
1983.12, 1267.00, 89.01, 
1982.12, 1267.00, 69.86, 
1981.12, 1267.00, 27.08, 
1980.12, 1280.00, -12.96, 
1979.12, 1280.00, 8.40, 
1978.12, 1280.00, 1.67, 
